id,Product_name,status
,,Error
629895,Thankyou Jumbo Nappies Crawler 6-11kg,Unvailable
654785,S26 Original Alula Newborn 0 - 6 Months,Error
655077,S26 Gold Alula Anti Reflux 0-12months,Error
